,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.0756,1.0,0.0742,1.0,8781.0,
2021-01-05 09:30:00.451,0.0742,0.0756,1.0,0.0713,1.0,8782.0,1.0
2021-01-05 09:30:00.991,0.0742,0.0755,1.0,0.0743,1.0,8782.0,1.0
2021-01-05 09:30:02.511,0.0743,0.0755,1.0,0.0732,1.0,8782.0,2.0
2021-01-05 09:30:04.430,0.0732,0.0755,1.0,0.0726,1.0,8782.0,3.0
2021-01-05 09:30:06.971,0.0726,0.0755,1.0,0.0721,1.0,8782.0,4.0
2021-01-05 09:30:08.520,0.0726,0.0755,1.0,0.073,1.0,8782.0,4.0
2021-01-05 09:30:08.960,0.073,0.0755,1.0,0.0721,1.0,8782.0,5.0
2021-01-05 09:30:11.000,0.0721,0.0735,20.0,0.0716,1.0,8782.0,6.0
2021-01-05 09:30:12.521,0.0721,0.0733,20.0,0.0716,1.0,8782.0,6.0
2021-01-05 09:30:13.000,0.0721,0.0755,1.0,0.0716,1.0,8782.0,6.0
2021-01-05 09:30:13.501,0.0721,0.0736,20.0,0.0716,1.0,8782.0,6.0
2021-01-05 09:30:15.520,0.0721,0.0738,20.0,0.0716,1.0,8782.0,6.0
2021-01-05 09:30:15.751,0.0716,0.0716,39.0,0.0711,1.0,8782.0,7.0
2021-01-05 09:30:16.531,0.0716,0.0716,39.0,0.0711,1.0,8782.0,7.0
2021-01-05 09:30:17.021,0.0716,0.0716,39.0,0.0711,1.0,8782.0,7.0
2021-01-05 09:30:17.641,0.0716,0.0716,39.0,0.0711,1.0,8782.0,7.0
2021-01-05 09:30:18.231,0.0716,0.0716,39.0,0.0711,1.0,8782.0,7.0
2021-01-05 09:30:19.251,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:22.240,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:23.670,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:24.161,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:24.661,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:25.671,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:28.161,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:30.620,0.0716,0.0716,38.0,0.0711,1.0,8782.0,8.0
2021-01-05 09:30:31.661,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:32.140,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:32.631,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:36.170,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:39.680,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:43.180,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:44.181,0.0716,0.0716,38.0,0.0711,6.0,8782.0,8.0
2021-01-05 09:30:46.200,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:30:48.200,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:30:50.171,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:30:53.120,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:30:59.640,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:31:01.680,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:31:02.681,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:31:03.131,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:31:07.670,0.0716,0.0716,29.0,0.0711,6.0,8782.0,17.0
2021-01-05 09:31:09.051,0.0716,0.0716,29.0,0.0711,1.0,8782.0,17.0
2021-01-05 09:31:09.701,0.0716,0.0716,29.0,0.0711,1.0,8782.0,17.0
2021-01-05 09:31:11.701,0.0716,0.0716,29.0,0.0711,1.0,8782.0,17.0
2021-01-05 09:31:13.170,0.0716,0.0716,29.0,0.0711,21.0,8782.0,17.0
2021-01-05 09:31:15.110,0.0711,0.0716,29.0,0.0711,11.0,8791.0,27.0
2021-01-05 09:31:15.710,0.0711,0.0716,29.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:18.720,0.0711,0.0716,29.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:19.150,0.0711,0.0716,29.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:19.721,0.0711,0.0716,29.0,0.071,21.0,8791.0,27.0
2021-01-05 09:31:21.221,0.0711,0.0716,29.0,0.071,21.0,8791.0,27.0
2021-01-05 09:31:22.211,0.0711,0.0716,29.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:22.620,0.0711,0.0716,29.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:23.171,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:24.161,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:24.660,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:25.150,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:26.141,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:27.601,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:28.610,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:29.171,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:30.170,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:31.150,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:32.191,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:33.190,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:34.181,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:34.681,0.0711,0.0716,39.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:35.670,0.0711,0.0712,20.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:36.181,0.0711,0.0711,20.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:38.621,0.0711,0.0711,20.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:39.210,0.0711,0.0711,20.0,0.071,1.0,8791.0,27.0
2021-01-05 09:31:39.710,0.0711,0.0711,20.0,0.071,6.0,8791.0,27.0
2021-01-05 09:31:40.200,0.0711,0.0711,20.0,0.071,6.0,8791.0,27.0
2021-01-05 09:31:40.711,0.0711,0.0711,20.0,0.071,6.0,8791.0,27.0
