,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,1.0237,1.0,0.9141,1.0,397.0,
2021-01-05 09:30:00.451,,1.0237,1.0,0.9141,1.0,397.0,
2021-01-05 09:30:00.991,,1.042,1.0,0.8998,1.0,397.0,
2021-01-05 09:30:01.481,,1.0671,1.0,0.8998,1.0,397.0,
2021-01-05 09:30:02.011,,1.0671,1.0,0.8998,1.0,397.0,
2021-01-05 09:30:02.511,,0.9804,20.0,0.9674,20.0,397.0,
2021-01-05 09:30:02.611,,0.9804,20.0,0.9685,20.0,397.0,
2021-01-05 09:30:03.471,,0.9804,20.0,0.9674,20.0,397.0,
2021-01-05 09:30:03.980,,0.9804,20.0,0.8998,1.0,397.0,
2021-01-05 09:30:04.430,,0.9804,20.0,0.9675,20.0,397.0,
2021-01-05 09:30:05.010,,1.0671,1.0,0.9675,20.0,397.0,
2021-01-05 09:30:05.481,,0.982,20.0,0.969,20.0,397.0,
2021-01-05 09:30:05.990,,1.0671,1.0,0.969,20.0,397.0,
2021-01-05 09:30:07.471,,0.9852,20.0,0.9722,20.0,397.0,
2021-01-05 09:30:11.000,,0.9862,20.0,0.9732,20.0,397.0,
2021-01-05 09:30:13.000,,0.9851,20.0,0.9722,20.0,397.0,
2021-01-05 09:30:15.520,,0.9851,20.0,0.9714,20.0,397.0,
2021-01-05 09:30:15.991,,0.9851,20.0,0.9714,20.0,397.0,
2021-01-05 09:30:17.021,,0.9838,20.0,0.9714,20.0,397.0,
2021-01-05 09:30:17.641,,0.9838,20.0,0.9714,20.0,397.0,
2021-01-05 09:30:18.231,,0.9826,20.0,0.9714,20.0,397.0,
2021-01-05 09:30:19.251,,0.9826,20.0,0.9693,20.0,397.0,
2021-01-05 09:30:22.240,,0.9836,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:24.161,,0.9845,20.0,0.9715,20.0,397.0,
2021-01-05 09:30:24.661,,0.9845,20.0,0.9715,20.0,397.0,
2021-01-05 09:30:28.161,,0.9845,20.0,0.9715,20.0,397.0,
2021-01-05 09:30:31.661,,0.9845,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:32.631,,0.9833,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:40.170,,0.9833,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:43.180,,0.9833,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:44.181,,0.9824,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:47.691,,0.9812,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:50.720,,0.9812,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:56.660,,0.9804,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:58.140,,0.9812,20.0,0.9706,20.0,397.0,
2021-01-05 09:30:59.640,,0.9822,20.0,0.9706,20.0,397.0,
2021-01-05 09:31:00.161,,0.9811,20.0,0.9706,20.0,397.0,
2021-01-05 09:31:01.150,,0.9822,20.0,0.9706,20.0,397.0,
2021-01-05 09:31:01.680,,0.9822,20.0,0.9706,20.0,397.0,
2021-01-05 09:31:02.170,,0.9883,10.0,0.9701,10.0,397.0,
2021-01-05 09:31:02.681,,0.9829,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:04.671,,0.9837,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:05.670,,0.9837,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:06.681,,0.9823,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:08.650,,0.9812,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:09.101,,0.9823,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:18.720,,0.9815,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:19.150,,0.9823,20.0,0.9701,10.0,397.0,
2021-01-05 09:31:19.721,,0.9814,20.0,0.9701,10.0,397.0,
2021-01-05 09:31:20.171,,0.9814,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:20.701,,0.9806,20.0,0.9701,30.0,397.0,
2021-01-05 09:31:21.221,,0.9814,20.0,0.9701,30.0,397.0,
