,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.0801,1.0,0.0728,1.0,5260.0,
2021-01-05 09:30:00.451,,0.0801,1.0,0.0728,1.0,5260.0,
2021-01-05 09:30:00.991,,0.0789,1.0,0.072,1.0,5260.0,
2021-01-05 09:30:02.511,,0.0789,1.0,0.0757,20.0,5260.0,
2021-01-05 09:30:02.611,,0.0789,1.0,0.0759,20.0,5260.0,
2021-01-05 09:30:03.471,,0.0789,1.0,0.0757,20.0,5260.0,
2021-01-05 09:30:03.980,,0.0789,1.0,0.0755,20.0,5260.0,
2021-01-05 09:30:04.430,,0.0789,1.0,0.0757,20.0,5260.0,
2021-01-05 09:30:05.010,,0.0789,1.0,0.0757,20.0,5260.0,
2021-01-05 09:30:05.481,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:05.990,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:06.971,,0.0789,1.0,0.0767,20.0,5260.0,
2021-01-05 09:30:13.000,,0.0789,1.0,0.0764,20.0,5260.0,
2021-01-05 09:30:16.531,,0.0789,1.0,0.0764,20.0,5260.0,
2021-01-05 09:30:17.021,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:17.641,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:18.231,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:19.251,,0.0789,1.0,0.0758,20.0,5260.0,
2021-01-05 09:30:21.241,,0.0789,1.0,0.076,20.0,5260.0,
2021-01-05 09:30:22.240,,0.0789,1.0,0.0761,20.0,5260.0,
2021-01-05 09:30:24.161,,0.0789,1.0,0.0761,20.0,5260.0,
2021-01-05 09:30:24.661,,0.0789,1.0,0.0763,20.0,5260.0,
2021-01-05 09:30:30.171,,0.0789,1.0,0.0763,20.0,5260.0,
2021-01-05 09:30:31.121,,0.0789,1.0,0.0761,20.0,5260.0,
2021-01-05 09:30:32.140,,0.0789,1.0,0.0761,20.0,5260.0,
2021-01-05 09:30:32.631,,0.0789,1.0,0.0759,20.0,5260.0,
2021-01-05 09:30:37.171,,0.0792,20.0,0.0759,20.0,5260.0,
2021-01-05 09:30:38.141,,0.0811,20.0,0.0759,20.0,5260.0,
2021-01-05 09:30:42.671,0.0759,0.0809,20.0,0.0759,19.0,5259.0,1.0
2021-01-05 09:30:43.180,0.0759,0.0809,20.0,0.0757,20.0,5259.0,1.0
2021-01-05 09:30:43.681,0.0759,0.0809,30.0,0.0759,10.0,5259.0,1.0
2021-01-05 09:30:44.181,0.0759,0.0807,20.0,0.0759,10.0,5259.0,1.0
2021-01-05 09:30:44.650,0.0759,0.0807,20.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:30:47.691,0.0759,0.0805,20.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:30:55.081,0.0759,0.0803,20.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:30:55.671,0.0759,0.0803,30.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:31:00.681,0.0759,0.0803,30.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:31:01.140,0.0759,0.0803,30.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:31:02.170,0.0759,0.0803,10.0,0.0759,10.0,5259.0,1.0
2021-01-05 09:31:02.681,0.0759,0.0803,30.0,0.0759,30.0,5259.0,1.0
2021-01-05 09:31:04.671,0.0759,0.0803,30.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:05.190,0.0759,0.0803,30.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:05.670,0.0759,0.0803,30.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:06.160,0.0759,0.0803,30.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:07.190,0.0759,0.0801,1.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:07.670,0.0759,0.0801,21.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:08.650,0.0759,0.0801,21.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:11.701,0.0759,0.0801,21.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:13.170,0.0759,0.0801,21.0,0.0778,10.0,5259.0,1.0
2021-01-05 09:31:16.180,0.0778,0.0801,21.0,0.0778,9.0,5259.0,2.0
2021-01-05 09:31:17.710,0.0778,0.0801,21.0,0.0776,10.0,5259.0,2.0
2021-01-05 09:31:18.720,0.0778,0.0795,10.0,0.0776,10.0,5259.0,2.0
2021-01-05 09:31:19.150,0.0778,0.0795,20.0,0.0772,10.0,5259.0,2.0
2021-01-05 09:31:19.711,0.0778,0.0795,40.0,0.0772,20.0,5259.0,2.0
2021-01-05 09:31:20.161,0.0778,0.0795,40.0,0.0768,30.0,5259.0,2.0
2021-01-05 09:31:20.701,0.0778,0.0795,40.0,0.0768,30.0,5259.0,2.0
2021-01-05 09:31:21.671,0.0778,0.0795,40.0,0.0768,30.0,5259.0,2.0
2021-01-05 09:31:22.211,0.0778,0.0795,40.0,0.0768,30.0,5259.0,2.0
2021-01-05 09:31:22.620,0.0778,0.0788,10.0,0.0768,30.0,5259.0,2.0
2021-01-05 09:31:23.171,0.0778,0.0788,10.0,0.0768,20.0,5259.0,2.0
