,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.9861,1.0,0.8888,5.0,1092.0,
2021-01-05 09:30:00.451,,0.9879,1.0,0.9261,20.0,1092.0,
2021-01-05 09:30:00.991,,0.9379,20.0,0.8888,5.0,1092.0,
2021-01-05 09:30:01.481,,0.9379,20.0,0.8897,1.0,1092.0,
2021-01-05 09:30:01.990,,0.9343,20.0,0.9226,20.0,1092.0,
2021-01-05 09:30:02.501,,0.9332,20.0,0.9215,20.0,1092.0,
2021-01-05 09:30:03.471,,0.9355,20.0,0.9238,20.0,1092.0,
2021-01-05 09:30:04.430,,0.9345,20.0,0.9228,20.0,1092.0,
2021-01-05 09:30:05.010,,0.9335,20.0,0.9215,20.0,1092.0,
2021-01-05 09:30:05.990,,0.9335,20.0,0.8897,1.0,1092.0,
2021-01-05 09:30:06.480,,0.9315,20.0,0.9198,20.0,1092.0,
2021-01-05 09:30:06.971,,0.9301,20.0,0.9183,20.0,1092.0,
2021-01-05 09:30:08.001,,0.9292,20.0,0.9174,20.0,1092.0,
2021-01-05 09:30:11.521,,0.9281,20.0,0.9164,20.0,1092.0,
2021-01-05 09:30:13.000,,0.9292,20.0,0.918,20.0,1092.0,
2021-01-05 09:30:13.501,,0.9304,20.0,0.918,20.0,1092.0,
2021-01-05 09:30:15.520,,0.9304,20.0,0.9191,20.0,1092.0,
2021-01-05 09:30:15.991,,0.9304,20.0,0.9191,20.0,1092.0,
2021-01-05 09:30:17.021,,0.9316,20.0,0.9191,20.0,1092.0,
2021-01-05 09:30:17.641,,0.9316,20.0,0.9191,20.0,1092.0,
2021-01-05 09:30:18.231,,0.9316,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:18.750,,0.9316,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:19.251,,0.933,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:19.741,,0.9339,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:21.241,,0.9327,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:21.741,,0.9339,20.0,0.9213,20.0,1092.0,
2021-01-05 09:30:22.240,,0.9321,20.0,0.9203,20.0,1092.0,
