,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,1.0886,1.0,0.9739,1.0,1521.0,
2021-01-05 09:30:00.451,,1.0348,20.0,1.0229,20.0,1521.0,
2021-01-05 09:30:00.980,,1.0348,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:01.481,,1.0348,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:01.990,,1.0312,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:02.501,,1.0301,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:03.471,,1.0324,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:04.430,,1.0314,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:05.010,,1.0314,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:05.481,,1.0298,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:05.990,,1.0298,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:06.971,,1.0269,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:08.001,,1.026,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:11.521,,1.025,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:13.000,,1.026,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:13.501,,1.0273,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:15.991,,1.0273,20.0,1.02,1.0,1521.0,
2021-01-05 09:30:17.021,,1.0285,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:17.641,,1.0285,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:17.641,,1.0285,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:18.750,,1.0285,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:19.251,,1.0299,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:19.751,,1.0308,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:21.241,,1.0296,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:21.741,,1.0308,20.0,1.02,21.0,1521.0,
2021-01-05 09:30:22.240,,1.0289,20.0,1.02,21.0,1521.0,
