,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.5884,1.0,0.5485,5.0,2243.0,
2021-01-05 09:30:00.451,,0.5884,1.0,0.5485,5.0,2243.0,
2021-01-05 09:30:00.991,,0.5883,1.0,0.5485,5.0,2243.0,
2021-01-05 09:30:00.991,,0.5883,1.0,0.5485,5.0,2243.0,
2021-01-05 09:30:02.511,,0.5883,1.0,0.5558,20.0,2243.0,
2021-01-05 09:30:03.010,,0.5673,20.0,0.5568,20.0,2243.0,
2021-01-05 09:30:03.471,,0.5666,20.0,0.5558,20.0,2243.0,
2021-01-05 09:30:03.980,,0.5666,20.0,0.5485,5.0,2243.0,
2021-01-05 09:30:04.430,,0.5666,20.0,0.556,20.0,2243.0,
2021-01-05 09:30:05.010,,0.5883,1.0,0.556,20.0,2243.0,
2021-01-05 09:30:05.481,,0.5677,20.0,0.5572,20.0,2243.0,
2021-01-05 09:30:05.990,,0.5883,1.0,0.5572,20.0,2243.0,
2021-01-05 09:30:06.480,,0.5688,20.0,0.5583,20.0,2243.0,
2021-01-05 09:30:06.971,,0.5883,1.0,0.5583,20.0,2243.0,
2021-01-05 09:30:07.471,,0.5704,20.0,0.5598,20.0,2243.0,
2021-01-05 09:30:09.970,,0.5704,20.0,0.5603,20.0,2243.0,
2021-01-05 09:30:10.501,,0.5709,20.0,0.5603,20.0,2243.0,
2021-01-05 09:30:11.521,,0.5709,20.0,0.5608,20.0,2243.0,
2021-01-05 09:30:13.000,,0.5701,20.0,0.5596,20.0,2243.0,
2021-01-05 09:30:15.520,,0.5695,20.0,0.559,20.0,2243.0,
2021-01-05 09:30:15.520,,0.5695,20.0,0.559,20.0,2243.0,
2021-01-05 09:30:16.531,,0.5701,20.0,0.559,20.0,2243.0,
2021-01-05 09:30:17.021,,0.5701,20.0,0.5485,5.0,2243.0,
2021-01-05 09:30:17.641,,0.569,20.0,0.5585,20.0,2243.0,
2021-01-05 09:30:18.231,,0.5681,20.0,0.5585,20.0,2243.0,
2021-01-05 09:30:19.251,,0.5681,20.0,0.5573,20.0,2243.0,
2021-01-05 09:30:19.751,,0.5676,20.0,0.5573,20.0,2243.0,
2021-01-05 09:30:20.740,,0.5681,20.0,0.5573,20.0,2243.0,
2021-01-05 09:30:21.241,,0.5681,20.0,0.5579,20.0,2243.0,
2021-01-05 09:30:21.741,,0.5681,20.0,0.5573,20.0,2243.0,
2021-01-05 09:30:22.240,,0.5689,20.0,0.5584,20.0,2243.0,
2021-01-05 09:30:24.161,,0.5696,20.0,0.5591,20.0,2243.0,
2021-01-05 09:30:24.661,,0.5696,20.0,0.5591,20.0,2243.0,
2021-01-05 09:30:25.160,,0.5696,20.0,0.5591,20.0,2243.0,
2021-01-05 09:30:25.671,,0.5702,20.0,0.5596,20.0,2243.0,
2021-01-05 09:30:29.150,,0.5702,20.0,0.5596,20.0,2243.0,
2021-01-05 09:30:30.171,,0.5702,20.0,0.5591,20.0,2243.0,
2021-01-05 09:30:30.620,,0.5695,20.0,0.5591,20.0,2243.0,
2021-01-05 09:30:31.661,,0.569,20.0,0.5585,20.0,2243.0,
2021-01-05 09:30:32.631,,0.5685,20.0,0.558,20.0,2243.0,
2021-01-05 09:30:36.170,,0.569,20.0,0.5585,20.0,2243.0,
2021-01-05 09:30:36.681,,0.5689,13.0,0.558,20.0,2243.0,
2021-01-05 09:30:39.201,,0.5689,13.0,0.5603,10.0,2243.0,
2021-01-05 09:30:39.680,,0.5689,13.0,0.5603,30.0,2243.0,
2021-01-05 09:30:42.671,,0.5683,20.0,0.5603,30.0,2243.0,
2021-01-05 09:30:43.180,,0.5683,20.0,0.5603,30.0,2243.0,
2021-01-05 09:30:43.180,,0.5682,13.0,0.5603,30.0,2243.0,
2021-01-05 09:30:44.181,,0.5677,20.0,0.5603,30.0,2243.0,
