,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.0628,1.0,0.0575,1.0,7704.0,
2021-01-05 09:30:00.451,,0.0628,1.0,0.0575,1.0,7704.0,
2021-01-05 09:30:00.991,,0.0628,1.0,0.0568,1.0,7704.0,
2021-01-05 09:30:01.450,,0.0675,1.0,0.0568,1.0,7704.0,
2021-01-05 09:30:01.990,,0.0675,1.0,0.0568,1.0,7704.0,
2021-01-05 09:30:02.511,,0.064,20.0,0.0595,20.0,7704.0,
2021-01-05 09:30:02.611,,0.064,20.0,0.0595,20.0,7704.0,
2021-01-05 09:30:03.980,,0.064,20.0,0.0593,20.0,7704.0,
2021-01-05 09:30:04.430,,0.064,20.0,0.0595,20.0,7704.0,
2021-01-05 09:30:05.010,,0.0675,1.0,0.0593,20.0,7704.0,
2021-01-05 09:30:05.481,,0.0643,20.0,0.0597,20.0,7704.0,
2021-01-05 09:30:05.990,,0.0675,1.0,0.0597,20.0,7704.0,
2021-01-05 09:30:07.471,,0.0648,20.0,0.0603,20.0,7704.0,
2021-01-05 09:30:13.000,,0.0646,20.0,0.0601,20.0,7704.0,
2021-01-05 09:30:15.520,,0.0646,20.0,0.0599,20.0,7704.0,
2021-01-05 09:30:16.531,,0.0646,20.0,0.0599,20.0,7704.0,
2021-01-05 09:30:17.021,,0.0646,20.0,0.0597,20.0,7704.0,
2021-01-05 09:30:17.641,,0.0644,20.0,0.0597,20.0,7704.0,
2021-01-05 09:30:18.231,,0.0642,20.0,0.0597,20.0,7704.0,
2021-01-05 09:30:19.751,,0.0642,20.0,0.0595,20.0,7704.0,
2021-01-05 09:30:21.241,,0.0642,20.0,0.0597,20.0,7704.0,
2021-01-05 09:30:22.240,,0.0644,20.0,0.0598,20.0,7704.0,
2021-01-05 09:30:24.161,,0.0675,1.0,0.0595,20.0,7704.0,
2021-01-05 09:30:24.661,,0.0645,20.0,0.06,20.0,7704.0,
2021-01-05 09:30:25.160,,0.0645,20.0,0.06,20.0,7704.0,
2021-01-05 09:30:30.620,,0.0645,20.0,0.0598,20.0,7704.0,
2021-01-05 09:30:31.661,,0.0643,20.0,0.0598,20.0,7704.0,
2021-01-05 09:30:32.631,,0.0642,20.0,0.0596,20.0,7704.0,
2021-01-05 09:30:42.671,,0.064,20.0,0.0596,20.0,7704.0,
2021-01-05 09:30:43.180,,0.064,20.0,0.0597,13.0,7704.0,
2021-01-05 09:30:43.681,,0.064,30.0,0.0597,13.0,7704.0,
2021-01-05 09:30:45.710,,0.0638,20.0,0.0597,13.0,7704.0,
2021-01-05 09:30:46.701,,0.0638,20.0,0.0597,13.0,7704.0,
2021-01-05 09:30:55.081,,0.0636,20.0,0.0597,13.0,7704.0,
2021-01-05 09:30:55.671,,0.0636,30.0,0.0597,23.0,7704.0,
2021-01-05 09:31:00.681,,0.0636,30.0,0.0597,23.0,7704.0,
2021-01-05 09:31:01.150,,0.0636,30.0,0.0597,23.0,7704.0,
2021-01-05 09:31:02.170,,0.0636,10.0,0.0597,23.0,7704.0,
2021-01-05 09:31:02.681,,0.0636,30.0,0.0597,43.0,7704.0,
2021-01-05 09:31:03.131,,0.0632,1.0,0.0597,43.0,7704.0,
2021-01-05 09:31:03.680,,0.0632,21.0,0.0597,43.0,7704.0,
2021-01-05 09:31:04.181,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:04.671,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:05.190,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:05.670,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:06.681,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:11.701,,0.0632,21.0,0.061,10.0,7704.0,
2021-01-05 09:31:17.710,,0.0632,21.0,0.0609,30.0,7704.0,
2021-01-05 09:31:19.150,,0.0629,10.0,0.0609,10.0,7704.0,
2021-01-05 09:31:19.721,,0.0629,40.0,0.0609,20.0,7704.0,
2021-01-05 09:31:20.171,,0.0629,40.0,0.0607,30.0,7704.0,
2021-01-05 09:31:20.630,,0.0629,40.0,0.0604,20.0,7704.0,
2021-01-05 09:31:21.221,,0.0629,40.0,0.0607,20.0,7704.0,
2021-01-05 09:31:21.671,,0.0629,40.0,0.0604,20.0,7704.0,
2021-01-05 09:31:22.211,,0.0629,40.0,0.0604,20.0,7704.0,
2021-01-05 09:31:22.620,,0.0626,10.0,0.0604,20.0,7704.0,
2021-01-05 09:31:23.171,,0.0626,40.0,0.0604,30.0,7704.0,
2021-01-05 09:31:23.640,,0.0626,40.0,0.0604,30.0,7704.0,
2021-01-05 09:31:24.161,,0.0626,40.0,0.0604,30.0,7704.0,
2021-01-05 09:31:24.660,,0.0625,10.0,0.0604,30.0,7704.0,
2021-01-05 09:31:25.150,,0.0622,10.0,0.0604,30.0,7704.0,
2021-01-05 09:31:25.640,,0.0622,20.0,0.0604,30.0,7704.0,
2021-01-05 09:31:26.101,,0.0622,10.0,0.0604,30.0,7704.0,
2021-01-05 09:31:28.610,,0.0622,10.0,0.0602,30.0,7704.0,
2021-01-05 09:31:29.171,,0.0622,20.0,0.0602,30.0,7704.0,
2021-01-05 09:31:30.170,,0.0622,20.0,0.0602,30.0,7704.0,
2021-01-05 09:31:30.671,,0.0621,10.0,0.0602,30.0,7704.0,
2021-01-05 09:31:31.101,,0.0621,20.0,0.0602,30.0,7704.0,
2021-01-05 09:31:32.191,,0.0621,20.0,0.0602,30.0,7704.0,
2021-01-05 09:31:33.190,,0.0621,30.0,0.0602,20.0,7704.0,
2021-01-05 09:31:33.610,,0.0621,30.0,0.0602,10.0,7704.0,
2021-01-05 09:31:34.181,,0.062,10.0,0.0602,10.0,7704.0,
2021-01-05 09:31:34.681,,0.0621,40.0,0.0602,10.0,7704.0,
2021-01-05 09:31:35.190,,0.0621,40.0,0.0602,30.0,7704.0,
2021-01-05 09:31:35.670,,0.062,10.0,0.0602,30.0,7704.0,
2021-01-05 09:31:36.181,,0.062,3.0,0.0602,30.0,7704.0,
2021-01-05 09:31:37.620,,0.062,3.0,0.0602,10.0,7704.0,
2021-01-05 09:31:38.190,,0.062,13.0,0.0602,10.0,7704.0,
2021-01-05 09:31:39.210,,0.062,13.0,0.0602,10.0,7704.0,
2021-01-05 09:31:39.710,,0.0618,12.0,0.0602,10.0,7704.0,
2021-01-05 09:31:40.200,,0.0612,10.0,0.0601,10.0,7704.0,
2021-01-05 09:31:40.711,,0.061,12.0,0.0599,10.0,7704.0,
2021-01-05 09:31:41.191,,0.061,22.0,0.0598,10.0,7704.0,
2021-01-05 09:31:41.691,,0.0608,12.0,0.0598,10.0,7704.0,
2021-01-05 09:31:42.211,,0.0608,22.0,0.0596,10.0,7704.0,
2021-01-05 09:31:43.710,,0.0608,22.0,0.0594,30.0,7704.0,
