,last,ask1,asize1,bid1,bsize1,oi,volume
2021-01-05 09:25:00.080,,0.0069,1.0,0.0065,1.0,36325.0,
2021-01-05 09:30:00.451,0.0061,0.0065,105.0,0.0063,20.0,36326.0,1.0
2021-01-05 09:30:00.991,0.0061,0.0063,10.0,0.0059,20.0,36326.0,1.0
2021-01-05 09:30:01.481,0.0061,0.0065,278.0,0.0062,10.0,36326.0,1.0
2021-01-05 09:30:01.990,0.0061,0.0065,258.0,0.006,20.0,36326.0,1.0
2021-01-05 09:30:02.511,0.0061,0.0065,288.0,0.0061,10.0,36326.0,1.0
2021-01-05 09:30:02.870,0.0061,0.0065,288.0,0.006,10.0,36326.0,1.0
2021-01-05 09:30:03.471,0.006,0.0065,278.0,0.0059,20.0,36311.0,16.0
2021-01-05 09:30:03.980,0.006,0.0062,2.0,0.0061,10.0,36311.0,16.0
2021-01-05 09:30:04.430,0.006,0.0062,2.0,0.006,10.0,36311.0,16.0
2021-01-05 09:30:05.010,0.006,0.0062,2.0,0.0059,10.0,36311.0,16.0
2021-01-05 09:30:05.990,0.006,0.0062,2.0,0.0058,10.0,36311.0,16.0
2021-01-05 09:30:06.480,0.006,0.0062,2.0,0.0058,10.0,36311.0,16.0
2021-01-05 09:30:06.971,0.006,0.0062,22.0,0.0058,10.0,36311.0,16.0
2021-01-05 09:30:07.471,0.006,0.0062,22.0,0.0058,10.0,36311.0,16.0
2021-01-05 09:30:08.960,0.006,0.0062,22.0,0.0058,10.0,36311.0,16.0
2021-01-05 09:30:11.000,0.0057,0.0057,1.0,0.0055,20.0,36299.0,30.0
2021-01-05 09:30:11.521,0.0057,0.0061,20.0,0.005,20.0,36298.0,31.0
2021-01-05 09:30:12.491,0.0057,0.0059,10.0,0.0054,10.0,36298.0,31.0
2021-01-05 09:30:12.860,0.0057,0.0061,20.0,0.0051,20.0,36298.0,31.0
2021-01-05 09:30:13.501,0.0057,0.0064,24.0,0.0051,20.0,36298.0,31.0
2021-01-05 09:30:14.521,0.0057,0.0061,10.0,0.0056,10.0,36298.0,31.0
2021-01-05 09:30:15.040,0.0057,0.0061,20.0,0.0055,20.0,36298.0,31.0
2021-01-05 09:30:15.280,0.0057,0.0064,24.0,0.0051,20.0,36298.0,31.0
2021-01-05 09:30:15.991,0.0057,0.0061,10.0,0.0056,10.0,36298.0,31.0
2021-01-05 09:30:17.021,0.0057,0.0062,30.0,0.0057,10.0,36298.0,31.0
2021-01-05 09:30:17.641,0.0057,0.0062,20.0,0.0055,20.0,36298.0,31.0
2021-01-05 09:30:18.160,0.0057,0.0062,10.0,0.0057,10.0,36298.0,31.0
2021-01-05 09:30:18.750,0.0057,0.0063,10.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:19.251,0.0057,0.0063,20.0,0.0056,20.0,36298.0,31.0
2021-01-05 09:30:19.751,0.0057,0.0063,30.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:20.240,0.0057,0.0063,10.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:20.740,0.0057,0.0063,30.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:21.241,0.0057,0.0063,10.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:21.741,0.0057,0.0063,20.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:22.240,0.0057,0.0063,10.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:22.671,0.0057,0.0063,20.0,0.0059,10.0,36298.0,31.0
2021-01-05 09:30:23.170,0.0057,0.0064,34.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:23.670,0.0057,0.0063,10.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:24.661,0.0057,0.0063,30.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:25.160,0.0057,0.0062,15.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:25.671,0.0057,0.0062,45.0,0.0058,10.0,36298.0,31.0
2021-01-05 09:30:26.171,0.0058,0.0061,15.0,0.0058,10.0,36297.0,32.0
2021-01-05 09:30:26.670,0.0058,0.0061,15.0,0.0058,10.0,36297.0,32.0
2021-01-05 09:30:26.780,0.0058,0.0061,35.0,0.0058,10.0,36297.0,32.0
2021-01-05 09:30:28.101,0.0057,0.006,15.0,0.0057,10.0,36287.0,55.0
2021-01-05 09:30:28.670,0.0057,0.006,35.0,0.0057,10.0,36287.0,55.0
2021-01-05 09:30:29.661,0.0057,0.006,20.0,0.0057,10.0,36287.0,55.0
2021-01-05 09:30:30.171,0.0057,0.006,20.0,0.0057,25.0,36287.0,55.0
2021-01-05 09:30:30.620,0.0057,0.0061,20.0,0.0057,10.0,36287.0,55.0
2021-01-05 09:30:31.121,0.0057,0.0062,45.0,0.0058,25.0,36287.0,55.0
2021-01-05 09:30:31.661,0.0057,0.0062,35.0,0.0058,25.0,36287.0,55.0
2021-01-05 09:30:32.140,0.0057,0.0062,35.0,0.0058,25.0,36287.0,55.0
2021-01-05 09:30:32.631,0.0057,0.0062,20.0,0.0059,15.0,36287.0,55.0
2021-01-05 09:30:33.171,0.0057,0.0062,35.0,0.006,10.0,36287.0,55.0
2021-01-05 09:30:33.671,0.006,0.0062,35.0,0.0058,25.0,36297.0,65.0
2021-01-05 09:30:34.191,0.006,0.0062,45.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:34.670,0.006,0.0062,45.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:35.121,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:35.680,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:36.160,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:36.691,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:37.171,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:37.670,0.006,0.0062,30.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:38.110,0.006,0.0062,45.0,0.0058,15.0,36297.0,65.0
2021-01-05 09:30:38.700,0.006,0.0062,30.0,0.0058,25.0,36297.0,65.0
2021-01-05 09:30:39.201,0.006,0.0062,30.0,0.0059,15.0,36297.0,65.0
2021-01-05 09:30:39.680,0.006,0.0062,20.0,0.0058,10.0,36297.0,65.0
2021-01-05 09:30:40.170,0.006,0.0062,10.0,0.0059,15.0,36297.0,65.0
2021-01-05 09:30:40.690,0.006,0.0062,20.0,0.0058,10.0,36297.0,65.0
2021-01-05 09:30:41.011,0.006,0.0062,10.0,0.0059,15.0,36297.0,65.0
2021-01-05 09:30:41.701,0.0059,0.0063,30.0,0.0058,10.0,36312.0,80.0
2021-01-05 09:30:42.181,0.0059,0.0062,20.0,0.0058,10.0,36312.0,80.0
2021-01-05 09:30:42.671,0.0059,0.0062,15.0,0.0058,25.0,36312.0,80.0
2021-01-05 09:30:43.180,0.0059,0.0063,45.0,0.0059,15.0,36312.0,80.0
2021-01-05 09:30:43.681,0.0059,0.0063,30.0,0.0058,10.0,36332.0,100.0
2021-01-05 09:30:44.100,0.0059,0.006,20.0,0.0059,15.0,36332.0,100.0
2021-01-05 09:30:44.650,0.0059,0.006,20.0,0.0059,15.0,36332.0,100.0
2021-01-05 09:30:45.161,0.0059,0.006,20.0,0.0058,15.0,36332.0,100.0
2021-01-05 09:30:45.710,0.0059,0.006,20.0,0.0058,15.0,36332.0,100.0
2021-01-05 09:30:46.200,0.0059,0.006,20.0,0.0058,15.0,36332.0,100.0
2021-01-05 09:30:46.671,0.0059,0.006,20.0,0.0057,30.0,36332.0,100.0
2021-01-05 09:30:47.691,0.0059,0.006,20.0,0.0058,15.0,36332.0,100.0
2021-01-05 09:30:48.711,0.0059,0.006,20.0,0.0057,30.0,36332.0,100.0
2021-01-05 09:30:49.210,0.0059,0.006,20.0,0.0057,45.0,36332.0,100.0
2021-01-05 09:30:49.700,0.0059,0.006,20.0,0.0057,35.0,36332.0,100.0
2021-01-05 09:30:50.171,0.0059,0.006,20.0,0.0057,45.0,36332.0,100.0
2021-01-05 09:30:50.720,0.006,0.0061,10.0,0.006,10.0,36352.0,120.0
2021-01-05 09:30:51.170,0.006,0.006,10.0,0.0058,10.0,36392.0,160.0
2021-01-05 09:30:51.521,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:52.221,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:52.651,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:53.120,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:53.660,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:54.130,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:55.081,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:56.170,0.006,0.0061,20.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:56.660,0.006,0.0061,35.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:57.600,0.006,0.0061,35.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:58.091,0.006,0.0061,65.0,0.006,25.0,36407.0,175.0
2021-01-05 09:30:58.660,0.006,0.0061,65.0,0.006,23.0,36409.0,177.0
2021-01-05 09:30:59.081,0.006,0.006,9.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:30:59.640,0.006,0.006,15.0,0.0058,50.0,36432.0,200.0
2021-01-05 09:31:00.161,0.006,0.006,15.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:00.681,0.006,0.0061,50.0,0.0058,30.0,36432.0,200.0
2021-01-05 09:31:01.150,0.006,0.0061,65.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:02.170,0.006,0.006,45.0,0.0058,30.0,36432.0,200.0
2021-01-05 09:31:02.681,0.006,0.006,30.0,0.0058,30.0,36432.0,200.0
2021-01-05 09:31:03.131,0.006,0.006,30.0,0.0057,65.0,36432.0,200.0
2021-01-05 09:31:03.680,0.006,0.006,30.0,0.0057,50.0,36432.0,200.0
2021-01-05 09:31:04.181,0.006,0.006,30.0,0.0058,45.0,36432.0,200.0
2021-01-05 09:31:04.671,0.006,0.006,30.0,0.0058,30.0,36432.0,200.0
2021-01-05 09:31:05.190,0.006,0.006,30.0,0.0058,45.0,36432.0,200.0
2021-01-05 09:31:05.670,0.006,0.006,30.0,0.0058,30.0,36432.0,200.0
2021-01-05 09:31:06.160,0.006,0.0061,65.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:06.681,0.006,0.0061,20.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:07.190,0.006,0.0061,50.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:07.670,0.006,0.0061,65.0,0.0059,40.0,36432.0,200.0
2021-01-05 09:31:08.200,0.006,0.0061,65.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:08.650,0.006,0.0061,35.0,0.0059,40.0,36432.0,200.0
2021-01-05 09:31:09.051,0.006,0.0061,65.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:11.170,0.006,0.0061,65.0,0.0059,30.0,36432.0,200.0
2021-01-05 09:31:12.171,0.006,0.0061,65.0,0.006,1.0,36432.0,200.0
2021-01-05 09:31:13.170,0.006,0.0061,65.0,0.006,1.0,36432.0,200.0
2021-01-05 09:31:13.710,0.006,0.0061,50.0,0.006,1.0,36432.0,200.0
2021-01-05 09:31:14.010,0.006,0.0061,50.0,0.0059,40.0,36433.0,201.0
2021-01-05 09:31:14.690,0.006,0.0061,50.0,0.0059,30.0,36433.0,201.0
2021-01-05 09:31:15.110,0.006,0.0061,65.0,0.0059,30.0,36433.0,201.0
2021-01-05 09:31:16.711,0.006,0.0061,50.0,0.0059,50.0,36433.0,201.0
2021-01-05 09:31:17.201,0.006,0.0061,65.0,0.0059,50.0,36433.0,201.0
2021-01-05 09:31:18.720,0.006,0.0061,65.0,0.0059,60.0,36433.0,201.0
2021-01-05 09:31:19.150,0.006,0.0061,35.0,0.0059,60.0,36433.0,201.0
2021-01-05 09:31:19.721,0.006,0.0061,65.0,0.0059,50.0,36433.0,201.0
2021-01-05 09:31:20.151,0.006,0.0061,20.0,0.0059,50.0,36433.0,201.0
2021-01-05 09:31:20.641,0.006,0.006,1.0,0.0059,50.0,36433.0,201.0
