,windcode,strike,release_dt,expiry_dt,ex_info_code,info_name,unit,option_type
0,10003081.SH,6.25,20201229,20210224,510300C2102M06250,300ETF购2月6169A,10000.0,C
1,10003082.SH,6.25,20201229,20210224,510300P2102M06250,300ETF沽2月6169A,10000.0,P
2,10002877.SH,4.4,20201029,20210623,510300C2106M04400,300ETF购6月4343A,10000.0,C
3,10002878.SH,4.5,20201029,20210623,510300C2106M04500,300ETF购6月4441A,10000.0,C
4,10002879.SH,4.6,20201029,20210623,510300C2106M04600,300ETF购6月4540A,10000.0,C
5,10002880.SH,4.7,20201029,20210623,510300C2106M04700,300ETF购6月4639A,10000.0,C
6,10002881.SH,4.8,20201029,20210623,510300C2106M04800,300ETF购6月4737A,10000.0,C
7,10002882.SH,4.9,20201029,20210623,510300C2106M04900,300ETF购6月4836A,10000.0,C
8,10002883.SH,5.0,20201029,20210623,510300C2106M05000,300ETF购6月4935A,10000.0,C
9,10002884.SH,5.25,20201029,20210623,510300C2106M05250,300ETF购6月5182A,10000.0,C
10,10002885.SH,5.5,20201029,20210623,510300C2106M05500,300ETF购6月5428A,10000.0,C
11,10002886.SH,4.4,20201029,20210623,510300P2106M04400,300ETF沽6月4343A,10000.0,P
12,10002887.SH,4.5,20201029,20210623,510300P2106M04500,300ETF沽6月4441A,10000.0,P
13,10002888.SH,4.6,20201029,20210623,510300P2106M04600,300ETF沽6月4540A,10000.0,P
14,10002889.SH,4.7,20201029,20210623,510300P2106M04700,300ETF沽6月4639A,10000.0,P
15,10002890.SH,4.8,20201029,20210623,510300P2106M04800,300ETF沽6月4737A,10000.0,P
16,10002891.SH,4.9,20201029,20210623,510300P2106M04900,300ETF沽6月4836A,10000.0,P
17,10002892.SH,5.0,20201029,20210623,510300P2106M05000,300ETF沽6月4935A,10000.0,P
18,10002893.SH,5.25,20201029,20210623,510300P2106M05250,300ETF沽6月5182A,10000.0,P
19,10002894.SH,5.5,20201029,20210623,510300P2106M05500,300ETF沽6月5428A,10000.0,P
20,10002743.SH,4.4,20200723,20210324,510300C2103M04400,300ETF购3月4343A,10000.0,C
21,10002744.SH,4.5,20200723,20210324,510300C2103M04500,300ETF购3月4441A,10000.0,C
22,10002745.SH,4.6,20200723,20210324,510300C2103M04600,300ETF购3月4540A,10000.0,C
23,10002746.SH,4.7,20200723,20210324,510300C2103M04700,300ETF购3月4639A,10000.0,C
24,10002747.SH,4.8,20200723,20210324,510300C2103M04800,300ETF购3月4737A,10000.0,C
25,10002748.SH,4.9,20200723,20210324,510300C2103M04900,300ETF购3月4836A,10000.0,C
26,10002749.SH,5.0,20200723,20210324,510300C2103M05000,300ETF购3月4935A,10000.0,C
27,10002750.SH,5.25,20200723,20210324,510300C2103M05250,300ETF购3月5182A,10000.0,C
28,10002751.SH,5.5,20200723,20210324,510300C2103M05500,300ETF购3月5428A,10000.0,C
29,10002752.SH,4.4,20200723,20210324,510300P2103M04400,300ETF沽3月4343A,10000.0,P
30,10002753.SH,4.5,20200723,20210324,510300P2103M04500,300ETF沽3月4441A,10000.0,P
31,10002754.SH,4.6,20200723,20210324,510300P2103M04600,300ETF沽3月4540A,10000.0,P
32,10002755.SH,4.7,20200723,20210324,510300P2103M04700,300ETF沽3月4639A,10000.0,P
33,10002756.SH,4.8,20200723,20210324,510300P2103M04800,300ETF沽3月4737A,10000.0,P
34,10002757.SH,4.9,20200723,20210324,510300P2103M04900,300ETF沽3月4836A,10000.0,P
35,10002758.SH,5.0,20200723,20210324,510300P2103M05000,300ETF沽3月4935A,10000.0,P
36,10002759.SH,5.25,20200723,20210324,510300P2103M05250,300ETF沽3月5182A,10000.0,P
37,10002760.SH,5.5,20200723,20210324,510300P2103M05500,300ETF沽3月5428A,10000.0,P
38,10003093.SH,6.5,20210106,20210127,510300C2101M06500,300ETF购1月6415A,10000.0,C
39,10003094.SH,6.5,20210106,20210127,510300P2101M06500,300ETF沽1月6415A,10000.0,P
40,10003095.SH,6.5,20210106,20210224,510300C2102M06500,300ETF购2月6415A,10000.0,C
41,10003096.SH,6.5,20210106,20210224,510300P2102M06500,300ETF沽2月6415A,10000.0,P
42,10003097.SH,6.5,20210106,20210324,510300C2103M06500,300ETF购3月6415A,10000.0,C
43,10003098.SH,6.5,20210106,20210324,510300P2103M06500,300ETF沽3月6415A,10000.0,P
44,10003099.SH,6.5,20210106,20210623,510300C2106M06500,300ETF购6月6415A,10000.0,C
45,10003100.SH,6.5,20210106,20210623,510300P2106M06500,300ETF沽6月6415A,10000.0,P
46,10003063.SH,4.6,20201224,20210224,510300C2102M04600,300ETF购2月4540A,10000.0,C
47,10003064.SH,4.7,20201224,20210224,510300C2102M04700,300ETF购2月4639A,10000.0,C
48,10003065.SH,4.8,20201224,20210224,510300C2102M04800,300ETF购2月4737A,10000.0,C
49,10003066.SH,4.9,20201224,20210224,510300C2102M04900,300ETF购2月4836A,10000.0,C
50,10003067.SH,5.0,20201224,20210224,510300C2102M05000,300ETF购2月4935A,10000.0,C
51,10003068.SH,5.25,20201224,20210224,510300C2102M05250,300ETF购2月5182A,10000.0,C
52,10003069.SH,5.5,20201224,20210224,510300C2102M05500,300ETF购2月5428A,10000.0,C
53,10003070.SH,5.75,20201224,20210224,510300C2102M05750,300ETF购2月5675A,10000.0,C
54,10003071.SH,6.0,20201224,20210224,510300C2102M06000,300ETF购2月5922A,10000.0,C
55,10003072.SH,4.6,20201224,20210224,510300P2102M04600,300ETF沽2月4540A,10000.0,P
56,10003073.SH,4.7,20201224,20210224,510300P2102M04700,300ETF沽2月4639A,10000.0,P
57,10003074.SH,4.8,20201224,20210224,510300P2102M04800,300ETF沽2月4737A,10000.0,P
58,10003075.SH,4.9,20201224,20210224,510300P2102M04900,300ETF沽2月4836A,10000.0,P
59,10003076.SH,5.0,20201224,20210224,510300P2102M05000,300ETF沽2月4935A,10000.0,P
60,10003077.SH,5.25,20201224,20210224,510300P2102M05250,300ETF沽2月5182A,10000.0,P
61,10003078.SH,5.5,20201224,20210224,510300P2102M05500,300ETF沽2月5428A,10000.0,P
62,10003079.SH,5.75,20201224,20210224,510300P2102M05750,300ETF沽2月5675A,10000.0,P
63,10003080.SH,6.0,20201224,20210224,510300P2102M06000,300ETF沽2月5922A,10000.0,P
64,10002769.SH,5.75,20200818,20210324,510300C2103M05750,300ETF购3月5675A,10000.0,C
65,10002770.SH,5.75,20200818,20210324,510300P2103M05750,300ETF沽3月5675A,10000.0,P
66,10002897.SH,5.75,20201105,20210623,510300C2106M05750,300ETF购6月5675A,10000.0,C
67,10002898.SH,5.75,20201105,20210623,510300P2106M05750,300ETF沽6月5675A,10000.0,P
68,10003117.SH,6.75,20210113,20210127,510300C2101M06750,300ETF购1月6662A,10000.0,C
69,10003118.SH,6.75,20210113,20210127,510300P2101M06750,300ETF沽1月6662A,10000.0,P
70,10003119.SH,6.75,20210113,20210224,510300C2102M06750,300ETF购2月6662A,10000.0,C
71,10003120.SH,6.75,20210113,20210224,510300P2102M06750,300ETF沽2月6662A,10000.0,P
72,10003121.SH,6.75,20210113,20210324,510300C2103M06750,300ETF购3月6662A,10000.0,C
73,10003122.SH,6.75,20210113,20210324,510300P2103M06750,300ETF沽3月6662A,10000.0,P
74,10003123.SH,6.75,20210113,20210623,510300C2106M06750,300ETF购6月6662A,10000.0,C
75,10003124.SH,6.75,20210113,20210623,510300P2106M06750,300ETF沽6月6662A,10000.0,P
76,10002903.SH,6.0,20201109,20210324,510300C2103M06000,300ETF购3月5922A,10000.0,C
77,10002904.SH,6.0,20201109,20210324,510300P2103M06000,300ETF沽3月5922A,10000.0,P
78,10002905.SH,6.0,20201109,20210623,510300C2106M06000,300ETF购6月5922A,10000.0,C
79,10002906.SH,6.0,20201109,20210623,510300P2106M06000,300ETF沽6月5922A,10000.0,P
80,10002931.SH,4.6,20201126,20210127,510300C2101M04600,300ETF购1月4540A,10000.0,C
81,10002932.SH,4.7,20201126,20210127,510300C2101M04700,300ETF购1月4639A,10000.0,C
82,10002933.SH,4.8,20201126,20210127,510300C2101M04800,300ETF购1月4737A,10000.0,C
83,10002934.SH,4.9,20201126,20210127,510300C2101M04900,300ETF购1月4836A,10000.0,C
84,10002935.SH,5.0,20201126,20210127,510300C2101M05000,300ETF购1月4935A,10000.0,C
85,10002936.SH,5.25,20201126,20210127,510300C2101M05250,300ETF购1月5182A,10000.0,C
86,10002937.SH,5.5,20201126,20210127,510300C2101M05500,300ETF购1月5428A,10000.0,C
87,10002938.SH,5.75,20201126,20210127,510300C2101M05750,300ETF购1月5675A,10000.0,C
88,10002939.SH,6.0,20201126,20210127,510300C2101M06000,300ETF购1月5922A,10000.0,C
89,10002940.SH,4.6,20201126,20210127,510300P2101M04600,300ETF沽1月4540A,10000.0,P
90,10002941.SH,4.7,20201126,20210127,510300P2101M04700,300ETF沽1月4639A,10000.0,P
91,10002942.SH,4.8,20201126,20210127,510300P2101M04800,300ETF沽1月4737A,10000.0,P
92,10002943.SH,4.9,20201126,20210127,510300P2101M04900,300ETF沽1月4836A,10000.0,P
