,windcode,strike,release_dt,expiry_dt,ex_info_code,info_name,unit,option_type
0,10003281.SH,4.8,20210225,20210428,510300C2104M04800,300ETF购4月4800,10000.0,C
1,10003294.SH,5.5,20210225,20210428,510300P2104M05500,300ETF沽4月5500,10000.0,P
2,10003253.SH,6.75,20210210,20210922,510300C2109M06750,300ETF购9月6750,10000.0,C
3,10003344.SH,4.6,20210325,20210526,510300C2105M04600,300ETF购5月4600,10000.0,C
4,10003310.SH,4.6,20210309,20210428,510300P2104M04600,300ETF沽4月4600,10000.0,P
5,10003350.SH,5.5,20210325,20210526,510300C2105M05500,300ETF购5月5500,10000.0,C
6,10003283.SH,5.0,20210225,20210428,510300C2104M05000,300ETF购4月5000,10000.0,C
7,10003343.SH,4.5,20210325,20210526,510300C2105M04500,300ETF购5月4500,10000.0,C
8,10003357.SH,5.0,20210325,20210526,510300P2105M05000,300ETF沽5月5000,10000.0,P
9,10003319.SH,4.5,20210325,20210428,510300C2104M04500,300ETF购4月4500,10000.0,C
10,10003309.SH,4.6,20210309,20210428,510300C2104M04600,300ETF购4月4600,10000.0,C
29,10003359.SH,5.5,20210325,20210526,510300P2105M05500,300ETF沽5月5500,10000.0,P
30,10003298.SH,6.5,20210225,20210428,510300P2104M06500,300ETF沽4月6500,10000.0,P
31,10003347.SH,4.9,20210325,20210526,510300C2105M04900,300ETF购5月4900,10000.0,C
32,10003323.SH,4.5,20210325,20210922,510300C2109M04500,300ETF购9月4500,10000.0,C
33,10003322.SH,4.5,20210325,20210623,510300P2106M04500,300ETF沽6月4500,10000.0,P
34,10003320.SH,4.5,20210325,20210428,510300P2104M04500,300ETF沽4月4500,10000.0,P
35,10003346.SH,4.8,20210325,20210526,510300C2105M04800,300ETF购5月4800,10000.0,C
36,10003247.SH,4.7,20210201,20210623,510300C2106M04700,300ETF购6月4700,10000.0,C
37,10003248.SH,4.7,20210201,20210623,510300P2106M04700,300ETF沽6月4700,10000.0,P
38,10003249.SH,4.7,20210201,20210922,510300C2109M04700,300ETF购9月4700,10000.0,C
39,10003250.SH,4.7,20210201,20210922,510300P2109M04700,300ETF沽9月4700,10000.0,P
40,10003354.SH,4.7,20210325,20210526,510300P2105M04700,300ETF沽5月4700,10000.0,P
41,10003284.SH,5.25,20210225,20210428,510300C2104M05250,300ETF购4月5250,10000.0,C
42,10003254.SH,6.75,20210210,20210922,510300P2109M06750,300ETF沽9月6750,10000.0,P
43,10003314.SH,4.6,20210309,20210922,510300P2109M04600,300ETF沽9月4600,10000.0,P
44,10003289.SH,6.5,20210225,20210428,510300C2104M06500,300ETF购4月6500,10000.0,C
45,10003288.SH,6.25,20210225,20210428,510300C2104M06250,300ETF购4月6250,10000.0,C
46,10003203.SH,6.75,20210126,20210623,510300C2106M06750,300ETF购6月6750,10000.0,C
47,10003204.SH,6.75,20210126,20210623,510300P2106M06750,300ETF沽6月6750,10000.0,P
48,10003312.SH,4.6,20210309,20210623,510300P2106M04600,300ETF沽6月4600,10000.0,P
51,10003353.SH,4.6,20210325,20210526,510300P2105M04600,300ETF沽5月4600,10000.0,P
52,10003223.SH,4.8,20210128,20210922,510300C2109M04800,300ETF购9月4800,10000.0,C
53,10003224.SH,4.9,20210128,20210922,510300C2109M04900,300ETF购9月4900,10000.0,C
54,10003225.SH,5.0,20210128,20210922,510300C2109M05000,300ETF购9月5000,10000.0,C
55,10003226.SH,5.25,20210128,20210922,510300C2109M05250,300ETF购9月5250,10000.0,C
56,10003227.SH,5.5,20210128,20210922,510300C2109M05500,300ETF购9月5500,10000.0,C
57,10003228.SH,5.75,20210128,20210922,510300C2109M05750,300ETF购9月5750,10000.0,C
58,10003229.SH,6.0,20210128,20210922,510300C2109M06000,300ETF购9月6000,10000.0,C
59,10003230.SH,6.25,20210128,20210922,510300C2109M06250,300ETF购9月6250,10000.0,C
60,10003231.SH,6.5,20210128,20210922,510300C2109M06500,300ETF购9月6500,10000.0,C
61,10003232.SH,4.8,20210128,20210922,510300P2109M04800,300ETF沽9月4800,10000.0,P
62,10003233.SH,4.9,20210128,20210922,510300P2109M04900,300ETF沽9月4900,10000.0,P
63,10003234.SH,5.0,20210128,20210922,510300P2109M05000,300ETF沽9月5000,10000.0,P
64,10003235.SH,5.25,20210128,20210922,510300P2109M05250,300ETF沽9月5250,10000.0,P
65,10003236.SH,5.5,20210128,20210922,510300P2109M05500,300ETF沽9月5500,10000.0,P
66,10003237.SH,5.75,20210128,20210922,510300P2109M05750,300ETF沽9月5750,10000.0,P
67,10003238.SH,6.0,20210128,20210922,510300P2109M06000,300ETF沽9月6000,10000.0,P
68,10003239.SH,6.25,20210128,20210922,510300P2109M06250,300ETF沽9月6250,10000.0,P
69,10003240.SH,6.5,20210128,20210922,510300P2109M06500,300ETF沽9月6500,10000.0,P
70,10003352.SH,4.5,20210325,20210526,510300P2105M04500,300ETF沽5月4500,10000.0,P
71,10003293.SH,5.25,20210225,20210428,510300P2104M05250,300ETF沽4月5250,10000.0,P
72,10003295.SH,5.75,20210225,20210428,510300P2104M05750,300ETF沽4月5750,10000.0,P
73,10003324.SH,4.5,20210325,20210922,510300P2109M04500,300ETF沽9月4500,10000.0,P
74,10003292.SH,5.0,20210225,20210428,510300P2104M05000,300ETF沽4月5000,10000.0,P
75,10003286.SH,5.75,20210225,20210428,510300C2104M05750,300ETF购4月5750,10000.0,C
76,10003349.SH,5.25,20210325,20210526,510300C2105M05250,300ETF购5月5250,10000.0,C
77,10003290.SH,4.8,20210225,20210428,510300P2104M04800,300ETF沽4月4800,10000.0,P
80,10003311.SH,4.6,20210309,20210623,510300C2106M04600,300ETF购6月4600,10000.0,C
81,10003285.SH,5.5,20210225,20210428,510300C2104M05500,300ETF购4月5500,10000.0,C
86,10003179.SH,4.8,20210118,20210623,510300C2106M04800,XD300ETF购6月4800,10000.0,C
87,10003180.SH,4.9,20210118,20210623,510300C2106M04900,XD300ETF购6月4900,10000.0,C
88,10003181.SH,5.0,20210118,20210623,510300C2106M05000,XD300ETF购6月5000,10000.0,C
89,10003182.SH,5.25,20210118,20210623,510300C2106M05250,XD300ETF购6月5250,10000.0,C
90,10003183.SH,5.5,20210118,20210623,510300C2106M05500,XD300ETF购6月5500,10000.0,C
91,10003184.SH,5.75,20210118,20210623,510300C2106M05750,XD300ETF购6月5750,10000.0,C
92,10003185.SH,6.0,20210118,20210623,510300C2106M06000,XD300ETF购6月6000,10000.0,C
93,10003186.SH,6.25,20210118,20210623,510300C2106M06250,XD300ETF购6月6250,10000.0,C
94,10003187.SH,6.5,20210118,20210623,510300C2106M06500,XD300ETF购6月6500,10000.0,C
95,10003188.SH,4.8,20210118,20210623,510300P2106M04800,XD300ETF沽6月4800,10000.0,P
