,windcode,strike,release_dt,expiry_dt,ex_info_code,info_name,unit,option_type
80,10003125.SH,4.8,20210118,20210127,510300C2101M04800,XD300ETF购1月4800,10000.0,C
81,10003126.SH,4.9,20210118,20210127,510300C2101M04900,XD300ETF购1月4900,10000.0,C
82,10003127.SH,5.0,20210118,20210127,510300C2101M05000,XD300ETF购1月5000,10000.0,C
83,10003128.SH,5.25,20210118,20210127,510300C2101M05250,XD300ETF购1月5250,10000.0,C
84,10003129.SH,5.5,20210118,20210127,510300C2101M05500,XD300ETF购1月5500,10000.0,C
85,10003130.SH,5.75,20210118,20210127,510300C2101M05750,XD300ETF购1月5750,10000.0,C
86,10003131.SH,6.0,20210118,20210127,510300C2101M06000,XD300ETF购1月6000,10000.0,C
87,10003132.SH,6.25,20210118,20210127,510300C2101M06250,XD300ETF购1月6250,10000.0,C
88,10003133.SH,6.5,20210118,20210127,510300C2101M06500,XD300ETF购1月6500,10000.0,C
89,10003134.SH,4.8,20210118,20210127,510300P2101M04800,XD300ETF沽1月4800,10000.0,P
90,10003135.SH,4.9,20210118,20210127,510300P2101M04900,XD300ETF沽1月4900,10000.0,P
91,10003136.SH,5.0,20210118,20210127,510300P2101M05000,XD300ETF沽1月5000,10000.0,P
92,10003137.SH,5.25,20210118,20210127,510300P2101M05250,XD300ETF沽1月5250,10000.0,P
93,10003138.SH,5.5,20210118,20210127,510300P2101M05500,XD300ETF沽1月5500,10000.0,P
94,10003139.SH,5.75,20210118,20210127,510300P2101M05750,XD300ETF沽1月5750,10000.0,P
95,10003140.SH,6.0,20210118,20210127,510300P2101M06000,XD300ETF沽1月6000,10000.0,P
96,10003141.SH,6.25,20210118,20210127,510300P2101M06250,XD300ETF沽1月6250,10000.0,P
97,10003142.SH,6.5,20210118,20210127,510300P2101M06500,XD300ETF沽1月6500,10000.0,P
98,10003143.SH,4.8,20210118,20210224,510300C2102M04800,XD300ETF购2月4800,10000.0,C
99,10003144.SH,4.9,20210118,20210224,510300C2102M04900,XD300ETF购2月4900,10000.0,C
100,10003145.SH,5.0,20210118,20210224,510300C2102M05000,XD300ETF购2月5000,10000.0,C
101,10003146.SH,5.25,20210118,20210224,510300C2102M05250,XD300ETF购2月5250,10000.0,C
102,10003147.SH,5.5,20210118,20210224,510300C2102M05500,XD300ETF购2月5500,10000.0,C
103,10003148.SH,5.75,20210118,20210224,510300C2102M05750,XD300ETF购2月5750,10000.0,C
104,10003149.SH,6.0,20210118,20210224,510300C2102M06000,XD300ETF购2月6000,10000.0,C
105,10003150.SH,6.25,20210118,20210224,510300C2102M06250,XD300ETF购2月6250,10000.0,C
106,10003151.SH,6.5,20210118,20210224,510300C2102M06500,XD300ETF购2月6500,10000.0,C
107,10003152.SH,4.8,20210118,20210224,510300P2102M04800,XD300ETF沽2月4800,10000.0,P
108,10003153.SH,4.9,20210118,20210224,510300P2102M04900,XD300ETF沽2月4900,10000.0,P
109,10003154.SH,5.0,20210118,20210224,510300P2102M05000,XD300ETF沽2月5000,10000.0,P
110,10003155.SH,5.25,20210118,20210224,510300P2102M05250,XD300ETF沽2月5250,10000.0,P
111,10003156.SH,5.5,20210118,20210224,510300P2102M05500,XD300ETF沽2月5500,10000.0,P
112,10003157.SH,5.75,20210118,20210224,510300P2102M05750,XD300ETF沽2月5750,10000.0,P
113,10003158.SH,6.0,20210118,20210224,510300P2102M06000,XD300ETF沽2月6000,10000.0,P
114,10003159.SH,6.25,20210118,20210224,510300P2102M06250,XD300ETF沽2月6250,10000.0,P
115,10003160.SH,6.5,20210118,20210224,510300P2102M06500,XD300ETF沽2月6500,10000.0,P
116,10003161.SH,4.8,20210118,20210324,510300C2103M04800,XD300ETF购3月4800,10000.0,C
117,10003162.SH,4.9,20210118,20210324,510300C2103M04900,XD300ETF购3月4900,10000.0,C
118,10003163.SH,5.0,20210118,20210324,510300C2103M05000,XD300ETF购3月5000,10000.0,C
119,10003164.SH,5.25,20210118,20210324,510300C2103M05250,XD300ETF购3月5250,10000.0,C
120,10003165.SH,5.5,20210118,20210324,510300C2103M05500,XD300ETF购3月5500,10000.0,C
121,10003166.SH,5.75,20210118,20210324,510300C2103M05750,XD300ETF购3月5750,10000.0,C
122,10003167.SH,6.0,20210118,20210324,510300C2103M06000,XD300ETF购3月6000,10000.0,C
123,10003168.SH,6.25,20210118,20210324,510300C2103M06250,XD300ETF购3月6250,10000.0,C
124,10003169.SH,6.5,20210118,20210324,510300C2103M06500,XD300ETF购3月6500,10000.0,C
125,10003170.SH,4.8,20210118,20210324,510300P2103M04800,XD300ETF沽3月4800,10000.0,P
126,10003171.SH,4.9,20210118,20210324,510300P2103M04900,XD300ETF沽3月4900,10000.0,P
127,10003172.SH,5.0,20210118,20210324,510300P2103M05000,XD300ETF沽3月5000,10000.0,P
128,10003173.SH,5.25,20210118,20210324,510300P2103M05250,XD300ETF沽3月5250,10000.0,P
129,10003174.SH,5.5,20210118,20210324,510300P2103M05500,XD300ETF沽3月5500,10000.0,P
130,10003175.SH,5.75,20210118,20210324,510300P2103M05750,XD300ETF沽3月5750,10000.0,P
131,10003176.SH,6.0,20210118,20210324,510300P2103M06000,XD300ETF沽3月6000,10000.0,P
132,10003177.SH,6.25,20210118,20210324,510300P2103M06250,XD300ETF沽3月6250,10000.0,P
133,10003178.SH,6.5,20210118,20210324,510300P2103M06500,XD300ETF沽3月6500,10000.0,P
134,10003179.SH,4.8,20210118,20210623,510300C2106M04800,XD300ETF购6月4800,10000.0,C
135,10003180.SH,4.9,20210118,20210623,510300C2106M04900,XD300ETF购6月4900,10000.0,C
136,10003181.SH,5.0,20210118,20210623,510300C2106M05000,XD300ETF购6月5000,10000.0,C
137,10003182.SH,5.25,20210118,20210623,510300C2106M05250,XD300ETF购6月5250,10000.0,C
138,10003183.SH,5.5,20210118,20210623,510300C2106M05500,XD300ETF购6月5500,10000.0,C
139,10003184.SH,5.75,20210118,20210623,510300C2106M05750,XD300ETF购6月5750,10000.0,C
140,10003185.SH,6.0,20210118,20210623,510300C2106M06000,XD300ETF购6月6000,10000.0,C
141,10003186.SH,6.25,20210118,20210623,510300C2106M06250,XD300ETF购6月6250,10000.0,C
142,10003187.SH,6.5,20210118,20210623,510300C2106M06500,XD300ETF购6月6500,10000.0,C
143,10003188.SH,4.8,20210118,20210623,510300P2106M04800,XD300ETF沽6月4800,10000.0,P
144,10003189.SH,4.9,20210118,20210623,510300P2106M04900,XD300ETF沽6月4900,10000.0,P
145,10003190.SH,5.0,20210118,20210623,510300P2106M05000,XD300ETF沽6月5000,10000.0,P
146,10003191.SH,5.25,20210118,20210623,510300P2106M05250,XD300ETF沽6月5250,10000.0,P
147,10003192.SH,5.5,20210118,20210623,510300P2106M05500,XD300ETF沽6月5500,10000.0,P
148,10003193.SH,5.75,20210118,20210623,510300P2106M05750,XD300ETF沽6月5750,10000.0,P
149,10003194.SH,6.0,20210118,20210623,510300P2106M06000,XD300ETF沽6月6000,10000.0,P
150,10003195.SH,6.25,20210118,20210623,510300P2106M06250,XD300ETF沽6月6250,10000.0,P
151,10003196.SH,6.5,20210118,20210623,510300P2106M06500,XD300ETF沽6月6500,10000.0,P
0,10003081.SH,6.169,20201229,20210224,510300C2102A06250,300ETF购2月6169A,10132.0,C
1,10003082.SH,6.169,20201229,20210224,510300P2102A06250,300ETF沽2月6169A,10132.0,P
2,10002877.SH,4.343,20201029,20210623,510300C2106A04400,300ETF购6月4343A,10132.0,C
3,10002878.SH,4.441,20201029,20210623,510300C2106A04500,300ETF购6月4441A,10132.0,C
4,10002879.SH,4.54,20201029,20210623,510300C2106A04600,300ETF购6月4540A,10132.0,C
5,10002880.SH,4.639,20201029,20210623,510300C2106A04700,300ETF购6月4639A,10132.0,C
6,10002881.SH,4.737,20201029,20210623,510300C2106A04800,300ETF购6月4737A,10132.0,C
7,10002882.SH,4.836,20201029,20210623,510300C2106A04900,300ETF购6月4836A,10132.0,C
8,10002883.SH,4.935,20201029,20210623,510300C2106A05000,300ETF购6月4935A,10132.0,C
9,10002884.SH,5.182,20201029,20210623,510300C2106A05250,300ETF购6月5182A,10132.0,C
10,10002885.SH,5.428,20201029,20210623,510300C2106A05500,300ETF购6月5428A,10132.0,C
11,10002886.SH,4.343,20201029,20210623,510300P2106A04400,300ETF沽6月4343A,10132.0,P
12,10002887.SH,4.441,20201029,20210623,510300P2106A04500,300ETF沽6月4441A,10132.0,P
13,10002888.SH,4.54,20201029,20210623,510300P2106A04600,300ETF沽6月4540A,10132.0,P
14,10002889.SH,4.639,20201029,20210623,510300P2106A04700,300ETF沽6月4639A,10132.0,P
