,windcode,strike,release_dt,expiry_dt,ex_info_code,info_name,unit,option_type
20,10003243.SH,4.7,20210201,20210224,510300C2102M04700,300ETF购2月4700,10000.0,C
21,10003244.SH,4.7,20210201,20210224,510300P2102M04700,300ETF沽2月4700,10000.0,P
22,10003245.SH,4.7,20210201,20210324,510300C2103M04700,300ETF购3月4700,10000.0,C
23,10003246.SH,4.7,20210201,20210324,510300P2103M04700,300ETF沽3月4700,10000.0,P
24,10003247.SH,4.7,20210201,20210623,510300C2106M04700,300ETF购6月4700,10000.0,C
25,10003248.SH,4.7,20210201,20210623,510300P2106M04700,300ETF沽6月4700,10000.0,P
26,10003249.SH,4.7,20210201,20210922,510300C2109M04700,300ETF购9月4700,10000.0,C
27,10003250.SH,4.7,20210201,20210922,510300P2109M04700,300ETF沽9月4700,10000.0,P
46,10003199.SH,6.75,20210126,20210224,510300C2102M06750,300ETF购2月6750,10000.0,C
47,10003200.SH,6.75,20210126,20210224,510300P2102M06750,300ETF沽2月6750,10000.0,P
48,10003201.SH,6.75,20210126,20210324,510300C2103M06750,300ETF购3月6750,10000.0,C
49,10003202.SH,6.75,20210126,20210324,510300P2103M06750,300ETF沽3月6750,10000.0,P
50,10003203.SH,6.75,20210126,20210623,510300C2106M06750,300ETF购6月6750,10000.0,C
51,10003204.SH,6.75,20210126,20210623,510300P2106M06750,300ETF沽6月6750,10000.0,P
58,10003223.SH,4.8,20210128,20210922,510300C2109M04800,300ETF购9月4800,10000.0,C
59,10003224.SH,4.9,20210128,20210922,510300C2109M04900,300ETF购9月4900,10000.0,C
60,10003225.SH,5.0,20210128,20210922,510300C2109M05000,300ETF购9月5000,10000.0,C
61,10003226.SH,5.25,20210128,20210922,510300C2109M05250,300ETF购9月5250,10000.0,C
62,10003227.SH,5.5,20210128,20210922,510300C2109M05500,300ETF购9月5500,10000.0,C
63,10003228.SH,5.75,20210128,20210922,510300C2109M05750,300ETF购9月5750,10000.0,C
64,10003229.SH,6.0,20210128,20210922,510300C2109M06000,300ETF购9月6000,10000.0,C
65,10003230.SH,6.25,20210128,20210922,510300C2109M06250,300ETF购9月6250,10000.0,C
66,10003231.SH,6.5,20210128,20210922,510300C2109M06500,300ETF购9月6500,10000.0,C
67,10003232.SH,4.8,20210128,20210922,510300P2109M04800,300ETF沽9月4800,10000.0,P
68,10003233.SH,4.9,20210128,20210922,510300P2109M04900,300ETF沽9月4900,10000.0,P
69,10003234.SH,5.0,20210128,20210922,510300P2109M05000,300ETF沽9月5000,10000.0,P
70,10003235.SH,5.25,20210128,20210922,510300P2109M05250,300ETF沽9月5250,10000.0,P
71,10003236.SH,5.5,20210128,20210922,510300P2109M05500,300ETF沽9月5500,10000.0,P
72,10003237.SH,5.75,20210128,20210922,510300P2109M05750,300ETF沽9月5750,10000.0,P
73,10003238.SH,6.0,20210128,20210922,510300P2109M06000,300ETF沽9月6000,10000.0,P
74,10003239.SH,6.25,20210128,20210922,510300P2109M06250,300ETF沽9月6250,10000.0,P
75,10003240.SH,6.5,20210128,20210922,510300P2109M06500,300ETF沽9月6500,10000.0,P
108,10003143.SH,4.8,20210118,20210224,510300C2102M04800,XD300ETF购2月4800,10000.0,C
109,10003144.SH,4.9,20210118,20210224,510300C2102M04900,XD300ETF购2月4900,10000.0,C
110,10003145.SH,5.0,20210118,20210224,510300C2102M05000,XD300ETF购2月5000,10000.0,C
111,10003146.SH,5.25,20210118,20210224,510300C2102M05250,XD300ETF购2月5250,10000.0,C
112,10003147.SH,5.5,20210118,20210224,510300C2102M05500,XD300ETF购2月5500,10000.0,C
113,10003148.SH,5.75,20210118,20210224,510300C2102M05750,XD300ETF购2月5750,10000.0,C
114,10003149.SH,6.0,20210118,20210224,510300C2102M06000,XD300ETF购2月6000,10000.0,C
115,10003150.SH,6.25,20210118,20210224,510300C2102M06250,XD300ETF购2月6250,10000.0,C
116,10003151.SH,6.5,20210118,20210224,510300C2102M06500,XD300ETF购2月6500,10000.0,C
117,10003152.SH,4.8,20210118,20210224,510300P2102M04800,XD300ETF沽2月4800,10000.0,P
118,10003153.SH,4.9,20210118,20210224,510300P2102M04900,XD300ETF沽2月4900,10000.0,P
119,10003154.SH,5.0,20210118,20210224,510300P2102M05000,XD300ETF沽2月5000,10000.0,P
120,10003155.SH,5.25,20210118,20210224,510300P2102M05250,XD300ETF沽2月5250,10000.0,P
121,10003156.SH,5.5,20210118,20210224,510300P2102M05500,XD300ETF沽2月5500,10000.0,P
122,10003157.SH,5.75,20210118,20210224,510300P2102M05750,XD300ETF沽2月5750,10000.0,P
123,10003158.SH,6.0,20210118,20210224,510300P2102M06000,XD300ETF沽2月6000,10000.0,P
124,10003159.SH,6.25,20210118,20210224,510300P2102M06250,XD300ETF沽2月6250,10000.0,P
125,10003160.SH,6.5,20210118,20210224,510300P2102M06500,XD300ETF沽2月6500,10000.0,P
126,10003161.SH,4.8,20210118,20210324,510300C2103M04800,XD300ETF购3月4800,10000.0,C
127,10003162.SH,4.9,20210118,20210324,510300C2103M04900,XD300ETF购3月4900,10000.0,C
128,10003163.SH,5.0,20210118,20210324,510300C2103M05000,XD300ETF购3月5000,10000.0,C
129,10003164.SH,5.25,20210118,20210324,510300C2103M05250,XD300ETF购3月5250,10000.0,C
130,10003165.SH,5.5,20210118,20210324,510300C2103M05500,XD300ETF购3月5500,10000.0,C
131,10003166.SH,5.75,20210118,20210324,510300C2103M05750,XD300ETF购3月5750,10000.0,C
132,10003167.SH,6.0,20210118,20210324,510300C2103M06000,XD300ETF购3月6000,10000.0,C
133,10003168.SH,6.25,20210118,20210324,510300C2103M06250,XD300ETF购3月6250,10000.0,C
134,10003169.SH,6.5,20210118,20210324,510300C2103M06500,XD300ETF购3月6500,10000.0,C
135,10003170.SH,4.8,20210118,20210324,510300P2103M04800,XD300ETF沽3月4800,10000.0,P
136,10003171.SH,4.9,20210118,20210324,510300P2103M04900,XD300ETF沽3月4900,10000.0,P
137,10003172.SH,5.0,20210118,20210324,510300P2103M05000,XD300ETF沽3月5000,10000.0,P
138,10003173.SH,5.25,20210118,20210324,510300P2103M05250,XD300ETF沽3月5250,10000.0,P
139,10003174.SH,5.5,20210118,20210324,510300P2103M05500,XD300ETF沽3月5500,10000.0,P
140,10003175.SH,5.75,20210118,20210324,510300P2103M05750,XD300ETF沽3月5750,10000.0,P
141,10003176.SH,6.0,20210118,20210324,510300P2103M06000,XD300ETF沽3月6000,10000.0,P
142,10003177.SH,6.25,20210118,20210324,510300P2103M06250,XD300ETF沽3月6250,10000.0,P
143,10003178.SH,6.5,20210118,20210324,510300P2103M06500,XD300ETF沽3月6500,10000.0,P
144,10003179.SH,4.8,20210118,20210623,510300C2106M04800,XD300ETF购6月4800,10000.0,C
145,10003180.SH,4.9,20210118,20210623,510300C2106M04900,XD300ETF购6月4900,10000.0,C
146,10003181.SH,5.0,20210118,20210623,510300C2106M05000,XD300ETF购6月5000,10000.0,C
147,10003182.SH,5.25,20210118,20210623,510300C2106M05250,XD300ETF购6月5250,10000.0,C
148,10003183.SH,5.5,20210118,20210623,510300C2106M05500,XD300ETF购6月5500,10000.0,C
149,10003184.SH,5.75,20210118,20210623,510300C2106M05750,XD300ETF购6月5750,10000.0,C
150,10003185.SH,6.0,20210118,20210623,510300C2106M06000,XD300ETF购6月6000,10000.0,C
151,10003186.SH,6.25,20210118,20210623,510300C2106M06250,XD300ETF购6月6250,10000.0,C
152,10003187.SH,6.5,20210118,20210623,510300C2106M06500,XD300ETF购6月6500,10000.0,C
153,10003188.SH,4.8,20210118,20210623,510300P2106M04800,XD300ETF沽6月4800,10000.0,P
154,10003189.SH,4.9,20210118,20210623,510300P2106M04900,XD300ETF沽6月4900,10000.0,P
155,10003190.SH,5.0,20210118,20210623,510300P2106M05000,XD300ETF沽6月5000,10000.0,P
156,10003191.SH,5.25,20210118,20210623,510300P2106M05250,XD300ETF沽6月5250,10000.0,P
157,10003192.SH,5.5,20210118,20210623,510300P2106M05500,XD300ETF沽6月5500,10000.0,P
158,10003193.SH,5.75,20210118,20210623,510300P2106M05750,XD300ETF沽6月5750,10000.0,P
159,10003194.SH,6.0,20210118,20210623,510300P2106M06000,XD300ETF沽6月6000,10000.0,P
160,10003195.SH,6.25,20210118,20210623,510300P2106M06250,XD300ETF沽6月6250,10000.0,P
161,10003196.SH,6.5,20210118,20210623,510300P2106M06500,XD300ETF沽6月6500,10000.0,P
0,10003081.SH,6.169,20201229,20210224,510300C2102A06250,300ETF购2月6169A,10132.0,C
1,10003082.SH,6.169,20201229,20210224,510300P2102A06250,300ETF沽2月6169A,10132.0,P
2,10002877.SH,4.343,20201029,20210623,510300C2106A04400,300ETF购6月4343A,10132.0,C
3,10002878.SH,4.441,20201029,20210623,510300C2106A04500,300ETF购6月4441A,10132.0,C
4,10002879.SH,4.54,20201029,20210623,510300C2106A04600,300ETF购6月4540A,10132.0,C
5,10002880.SH,4.639,20201029,20210623,510300C2106A04700,300ETF购6月4639A,10132.0,C
6,10002881.SH,4.737,20201029,20210623,510300C2106A04800,300ETF购6月4737A,10132.0,C
7,10002882.SH,4.836,20201029,20210623,510300C2106A04900,300ETF购6月4836A,10132.0,C
8,10002883.SH,4.935,20201029,20210623,510300C2106A05000,300ETF购6月4935A,10132.0,C
9,10002884.SH,5.182,20201029,20210623,510300C2106A05250,300ETF购6月5182A,10132.0,C
10,10002885.SH,5.428,20201029,20210623,510300C2106A05500,300ETF购6月5428A,10132.0,C
11,10002886.SH,4.343,20201029,20210623,510300P2106A04400,300ETF沽6月4343A,10132.0,P
12,10002887.SH,4.441,20201029,20210623,510300P2106A04500,300ETF沽6月4441A,10132.0,P
13,10002888.SH,4.54,20201029,20210623,510300P2106A04600,300ETF沽6月4540A,10132.0,P
14,10002889.SH,4.639,20201029,20210623,510300P2106A04700,300ETF沽6月4639A,10132.0,P
15,10002890.SH,4.737,20201029,20210623,510300P2106A04800,300ETF沽6月4737A,10132.0,P
16,10002891.SH,4.836,20201029,20210623,510300P2106A04900,300ETF沽6月4836A,10132.0,P
17,10002892.SH,4.935,20201029,20210623,510300P2106A05000,300ETF沽6月4935A,10132.0,P
18,10002893.SH,5.182,20201029,20210623,510300P2106A05250,300ETF沽6月5182A,10132.0,P
19,10002894.SH,5.428,20201029,20210623,510300P2106A05500,300ETF沽6月5428A,10132.0,P
28,10002743.SH,4.343,20200723,20210324,510300C2103A04400,300ETF购3月4343A,10132.0,C
29,10002744.SH,4.441,20200723,20210324,510300C2103A04500,300ETF购3月4441A,10132.0,C
30,10002745.SH,4.54,20200723,20210324,510300C2103A04600,300ETF购3月4540A,10132.0,C
31,10002746.SH,4.639,20200723,20210324,510300C2103A04700,300ETF购3月4639A,10132.0,C
32,10002747.SH,4.737,20200723,20210324,510300C2103A04800,300ETF购3月4737A,10132.0,C
33,10002748.SH,4.836,20200723,20210324,510300C2103A04900,300ETF购3月4836A,10132.0,C
34,10002749.SH,4.935,20200723,20210324,510300C2103A05000,300ETF购3月4935A,10132.0,C
35,10002750.SH,5.182,20200723,20210324,510300C2103A05250,300ETF购3月5182A,10132.0,C
36,10002751.SH,5.428,20200723,20210324,510300C2103A05500,300ETF购3月5428A,10132.0,C
37,10002752.SH,4.343,20200723,20210324,510300P2103A04400,300ETF沽3月4343A,10132.0,P
38,10002753.SH,4.441,20200723,20210324,510300P2103A04500,300ETF沽3月4441A,10132.0,P
39,10002754.SH,4.54,20200723,20210324,510300P2103A04600,300ETF沽3月4540A,10132.0,P
40,10002755.SH,4.639,20200723,20210324,510300P2103A04700,300ETF沽3月4639A,10132.0,P
41,10002756.SH,4.737,20200723,20210324,510300P2103A04800,300ETF沽3月4737A,10132.0,P
42,10002757.SH,4.836,20200723,20210324,510300P2103A04900,300ETF沽3月4836A,10132.0,P
43,10002758.SH,4.935,20200723,20210324,510300P2103A05000,300ETF沽3月4935A,10132.0,P
44,10002759.SH,5.182,20200723,20210324,510300P2103A05250,300ETF沽3月5182A,10132.0,P
45,10002760.SH,5.428,20200723,20210324,510300P2103A05500,300ETF沽3月5428A,10132.0,P
52,10003095.SH,6.415,20210106,20210224,510300C2102A06500,300ETF购2月6415A,10132.0,C
53,10003096.SH,6.415,20210106,20210224,510300P2102A06500,300ETF沽2月6415A,10132.0,P
54,10003097.SH,6.415,20210106,20210324,510300C2103A06500,300ETF购3月6415A,10132.0,C
55,10003098.SH,6.415,20210106,20210324,510300P2103A06500,300ETF沽3月6415A,10132.0,P
56,10003099.SH,6.415,20210106,20210623,510300C2106A06500,300ETF购6月6415A,10132.0,C
57,10003100.SH,6.415,20210106,20210623,510300P2106A06500,300ETF沽6月6415A,10132.0,P
76,10003063.SH,4.54,20201224,20210224,510300C2102A04600,300ETF购2月4540A,10132.0,C
77,10003064.SH,4.639,20201224,20210224,510300C2102A04700,300ETF购2月4639A,10132.0,C
