,windcode,strike,release_dt,expiry_dt,ex_info_code,info_name,unit,option_type
0,10002117.SH,3.6,20191223,20200122,510300C2001M03600,300ETF购1月3600,10000.0,C
1,10002118.SH,3.7,20191223,20200122,510300C2001M03700,300ETF购1月3700,10000.0,C
2,10002119.SH,3.8,20191223,20200122,510300C2001M03800,300ETF购1月3800,10000.0,C
3,10002120.SH,3.9,20191223,20200122,510300C2001M03900,300ETF购1月3900,10000.0,C
4,10002121.SH,4.0,20191223,20200122,510300C2001M04000,300ETF购1月4000,10000.0,C
5,10002122.SH,4.1,20191223,20200122,510300C2001M04100,300ETF购1月4100,10000.0,C
6,10002123.SH,4.2,20191223,20200122,510300C2001M04200,300ETF购1月4200,10000.0,C
7,10002124.SH,4.3,20191223,20200122,510300C2001M04300,300ETF购1月4300,10000.0,C
8,10002125.SH,4.4,20191223,20200122,510300C2001M04400,300ETF购1月4400,10000.0,C
9,10002126.SH,3.6,20191223,20200122,510300P2001M03600,300ETF沽1月3600,10000.0,P
10,10002127.SH,3.7,20191223,20200122,510300P2001M03700,300ETF沽1月3700,10000.0,P
11,10002128.SH,3.8,20191223,20200122,510300P2001M03800,300ETF沽1月3800,10000.0,P
12,10002129.SH,3.9,20191223,20200122,510300P2001M03900,300ETF沽1月3900,10000.0,P
13,10002130.SH,4.0,20191223,20200122,510300P2001M04000,300ETF沽1月4000,10000.0,P
14,10002131.SH,4.1,20191223,20200122,510300P2001M04100,300ETF沽1月4100,10000.0,P
15,10002132.SH,4.2,20191223,20200122,510300P2001M04200,300ETF沽1月4200,10000.0,P
16,10002133.SH,4.3,20191223,20200122,510300P2001M04300,300ETF沽1月4300,10000.0,P
17,10002134.SH,4.4,20191223,20200122,510300P2001M04400,300ETF沽1月4400,10000.0,P
18,10002135.SH,3.6,20191223,20200226,510300C2002M03600,300ETF购2月3600,10000.0,C
19,10002136.SH,3.7,20191223,20200226,510300C2002M03700,300ETF购2月3700,10000.0,C
20,10002137.SH,3.8,20191223,20200226,510300C2002M03800,300ETF购2月3800,10000.0,C
21,10002138.SH,3.9,20191223,20200226,510300C2002M03900,300ETF购2月3900,10000.0,C
22,10002139.SH,4.0,20191223,20200226,510300C2002M04000,300ETF购2月4000,10000.0,C
23,10002140.SH,4.1,20191223,20200226,510300C2002M04100,300ETF购2月4100,10000.0,C
24,10002141.SH,4.2,20191223,20200226,510300C2002M04200,300ETF购2月4200,10000.0,C
25,10002142.SH,4.3,20191223,20200226,510300C2002M04300,300ETF购2月4300,10000.0,C
26,10002143.SH,4.4,20191223,20200226,510300C2002M04400,300ETF购2月4400,10000.0,C
27,10002144.SH,3.6,20191223,20200226,510300P2002M03600,300ETF沽2月3600,10000.0,P
28,10002145.SH,3.7,20191223,20200226,510300P2002M03700,300ETF沽2月3700,10000.0,P
29,10002146.SH,3.8,20191223,20200226,510300P2002M03800,300ETF沽2月3800,10000.0,P
30,10002147.SH,3.9,20191223,20200226,510300P2002M03900,300ETF沽2月3900,10000.0,P
31,10002148.SH,4.0,20191223,20200226,510300P2002M04000,300ETF沽2月4000,10000.0,P
32,10002149.SH,4.1,20191223,20200226,510300P2002M04100,300ETF沽2月4100,10000.0,P
33,10002150.SH,4.2,20191223,20200226,510300P2002M04200,300ETF沽2月4200,10000.0,P
34,10002151.SH,4.3,20191223,20200226,510300P2002M04300,300ETF沽2月4300,10000.0,P
35,10002152.SH,4.4,20191223,20200226,510300P2002M04400,300ETF沽2月4400,10000.0,P
36,10002153.SH,3.6,20191223,20200325,510300C2003M03600,300ETF购3月3600,10000.0,C
37,10002154.SH,3.7,20191223,20200325,510300C2003M03700,300ETF购3月3700,10000.0,C
38,10002155.SH,3.8,20191223,20200325,510300C2003M03800,300ETF购3月3800,10000.0,C
39,10002156.SH,3.9,20191223,20200325,510300C2003M03900,300ETF购3月3900,10000.0,C
40,10002157.SH,4.0,20191223,20200325,510300C2003M04000,300ETF购3月4000,10000.0,C
